generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
125,0,0,1.196e-05,0,3.33621e-05,0,0.00660675,1.02814e-05,5.24562e-06,0,0.00260959,1.88842e-06,0.0019499,6.08492e-06,0.986954,0.00181121
126,0,0,1.09589e-05,0,3.40721e-05,0,0.00662534,1.05604e-05,4.98131e-06,0,0.00263053,2.19177e-06,0.00194909,6.57532e-06,0.98691,0.00181598
127,0,0,1.09068e-05,0,3.33497e-05,0,0.00661582,1.04873e-05,5.03392e-06,0,0.00263064,2.09747e-06,0.00195127,6.92163e-06,0.986923,0.00181053
128,0,0,9.96669e-06,0,3.32888e-05,0,0.00665018,1.11627e-05,5.18268e-06,0,0.00263141,1.99334e-06,0.00195008,6.97669e-06,0.986881,0.00181832
129,0,0,1.00717e-05,0,3.42017e-05,0,0.00664436,1.13306e-05,5.03583e-06,0,0.00262808,2.09826e-06,0.00194068,6.92427e-06,0.986906,0.0018108
130,0,0,1.03609e-05,0,3.30752e-05,0,0.00665211,1.09587e-05,4.58271e-06,0,0.00262589,2.19173e-06,0.00195124,6.97369e-06,0.986895,0.00180738
131,0,0,9.43765e-06,0,3.31366e-05,0,0.0066462,1.04863e-05,4.82369e-06,0,0.00263415,2.30698e-06,0.00194814,7.13067e-06,0.986895,0.00180888
132,0,0,9.5678e-06,0,3.269e-05,0,0.00663746,1.03651e-05,4.38524e-06,0,0.00263374,2.59128e-06,0.00194047,7.77384e-06,0.986899,0.00182187
133,0,0,9.86277e-06,0,3.33655e-05,0,0.00663386,1.07022e-05,4.19692e-06,0,0.00263483,2.51815e-06,0.00194171,7.13477e-06,0.986901,0.00182083
134,0,0,9.3641e-06,0,3.44679e-05,0,0.00663755,1.0161e-05,4.58243e-06,0,0.00263649,2.39083e-06,0.00194873,6.97327e-06,0.986882,0.00182759
135,0,0,9.01902e-06,0,3.41884e-05,0,0.0066424,1.00677e-05,4.61438e-06,0,0.00263544,2.30719e-06,0.00194559,7.34106e-06,0.986881,0.00182771
136,0,0,8.56878e-06,0,3.52715e-05,0,0.00663861,1.03622e-05,4.98185e-06,0,0.00264377,2.19201e-06,0.00194133,7.97096e-06,0.986874,0.00183312
137,0,0,8.6017e-06,0,3.54558e-05,0,0.00663841,1.02801e-05,4.61555e-06,0,0.00265184,2.09798e-06,0.00193496,7.76251e-06,0.986873,0.00183258
138,0,0,8.37045e-06,0,3.52755e-05,0,0.00663199,1.09613e-05,5.18171e-06,0,0.00266459,1.79367e-06,0.00193158,7.77256e-06,0.986872,0.00183014
139,0,0,8.60224e-06,0,3.62973e-05,0,0.00663799,1.15396e-05,5.03546e-06,0,0.00266292,1.8883e-06,0.00193425,7.55319e-06,0.986863,0.00183102
140,0,0,7.57334e-06,0,3.58737e-05,0,0.00663086,1.25558e-05,5.38106e-06,0,0.00266203,1.79369e-06,0.0019318,6.97545e-06,0.986877,0.00182856
141,0,0,7.97216e-06,0,3.52453e-05,0,0.00664165,1.2168e-05,5.24484e-06,0,0.00266857,1.88814e-06,0.00193723,7.34278e-06,0.986855,0.00182814
142,0,0,7.57225e-06,0,3.60678e-05,0,0.00665302,1.19562e-05,5.38028e-06,0,0.00266184,2.19197e-06,0.00194208,7.97079e-06,0.986848,0.00182352
143,0,0,7.7618e-06,0,3.52428e-05,0,0.00666508,1.09085e-05,5.24446e-06,0,0.0026646,2.30756e-06,0.00194947,8.18135e-06,0.986833,0.00181836
144,0,0,7.97154e-06,0,3.56727e-05,0,0.00664548,1.09609e-05,5.58008e-06,0,0.00268242,2.59075e-06,0.0019337,7.77226e-06,0.986855,0.00181293
145,0,0,8.18177e-06,0,3.4825e-05,0,0.00663731,1.02797e-05,5.87409e-06,0,0.00267964,2.72726e-06,0.00192985,7.76219e-06,0.986871,0.00181258
146,0,0,8.77068e-06,0,3.30894e-05,0,0.00665396,9.96668e-06,5.78068e-06,0,0.00268243,2.392e-06,0.00194629,7.17601e-06,0.986835,0.00181473
147,0,0,8.39378e-06,0,3.31554e-05,0,0.006659,9.86269e-06,5.45596e-06,0,0.00267573,2.51813e-06,0.00194043,7.34456e-06,0.986837,0.00182103
148,0,0,8.56709e-06,0,3.46668e-05,0,0.00664965,9.76249e-06,5.7778e-06,0,0.00267971,2.98852e-06,0.00193795,7.96938e-06,0.986844,0.00181861
149,0,0,7.9703e-06,0,3.48176e-05,0,0.00664493,9.64826e-06,6.0826e-06,0,0.00267991,3.14617e-06,0.00193867,8.18005e-06,0.986848,0.00181828
