generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
3430,0,0,1.05664e-05,0,1.91391e-05,0,0.00688191,6.9778e-06,1.59493e-06,0,0.00258338,9.96829e-07,0.00191471,8.97146e-06,0.986777,0.00179469
3431,0,0,1.02809e-05,0,1.86734e-05,0,0.00688377,6.92384e-06,1.67851e-06,0,0.00258049,1.04907e-06,0.00190993,9.4416e-06,0.986783,0.00179474
3432,0,0,1.09614e-05,0,1.89333e-05,0,0.00688732,6.37752e-06,1.79368e-06,0,0.00257891,9.96488e-07,0.00190489,8.56979e-06,0.986797,0.00178431
3433,0,0,1.09108e-05,0,1.8884e-05,0,0.00690169,6.08485e-06,1.8884e-06,0,0.00258207,1.04911e-06,0.00190204,8.60272e-06,0.986787,0.00178013
3434,0,0,1.19525e-05,0,1.97217e-05,0,0.00689362,6.57389e-06,1.79288e-06,0,0.00257975,1.19525e-06,0.00189268,8.76519e-06,0.98679,0.00179388
3435,0,0,1.17417e-05,0,1.9919e-05,0,0.00688462,6.2902e-06,1.88706e-06,0,0.00258674,1.25804e-06,0.00189356,8.80628e-06,0.986788,0.00179711
3436,0,0,1.17645e-05,0,1.85441e-05,0,0.00689999,6.38076e-06,1.79459e-06,0,0.00259677,1.39579e-06,0.00188651,8.77354e-06,0.986771,0.00179658
3437,0,0,1.23853e-05,0,1.76334e-05,0,0.00691543,6.71747e-06,1.67937e-06,0,0.00259714,1.46945e-06,0.00188467,8.60676e-06,0.98676,0.00179419
3438,0,0,1.29468e-05,0,1.87231e-05,0,0.00691897,6.57299e-06,1.59345e-06,0,0.00259832,1.39427e-06,0.00189581,9.36153e-06,0.986753,0.00178347
3439,0,0,1.27888e-05,0,1.8659e-05,0,0.00692334,6.70887e-06,1.67722e-06,0,0.00259361,1.46756e-06,0.00190574,9.644e-06,0.98674,0.00178624
3440,0,0,1.25606e-05,0,1.85419e-05,0,0.00690376,6.38e-06,1.79437e-06,0,0.00258829,1.99375e-06,0.00189905,8.7725e-06,0.986782,0.00177683
3441,0,0,1.2806e-05,0,1.84743e-05,0,0.00690455,6.08812e-06,1.88942e-06,0,0.00259606,2.09935e-06,0.00190453,8.3974e-06,0.98677,0.001775
3442,0,0,1.2946e-05,0,1.79252e-05,0,0.00691235,6.17423e-06,1.79252e-06,0,0.00259337,1.79252e-06,0.00190485,7.96674e-06,0.98676,0.00178077
3443,0,0,1.34174e-05,0,1.78199e-05,0,0.00690826,6.49903e-06,1.88682e-06,0,0.00259353,1.88682e-06,0.00190506,7.75691e-06,0.986766,0.00177759
3444,0,0,1.33579e-05,0,1.81429e-05,0,0.00690326,6.18053e-06,1.99372e-06,0,0.002602,1.79435e-06,0.00191776,7.77551e-06,0.986764,0.00176325
