generation,prop0,prop1,prop2,prop3,prop4,prop5,prop6,prop7,prop8,prop9,prop10,prop11,prop12,prop13,prop14,prop15
109,4.20811e-07,0,1.76741e-05,0,3.17712e-05,0,0.00666059,2.25134e-05,2.31446e-06,0,0.00251771,1.68324e-06,0.00209564,1.07307e-05,0.986903,0.00173584
110,3.97382e-07,0,1.78822e-05,0,3.15919e-05,0,0.00665972,2.1856e-05,2.1856e-06,0,0.00252417,1.58953e-06,0.00208268,1.07293e-05,0.986908,0.00173874
111,4.18426e-07,0,1.79923e-05,0,3.20096e-05,0,0.00665506,2.23858e-05,2.30134e-06,0,0.00252269,1.6737e-06,0.00207874,1.10883e-05,0.986914,0.0017417
112,5.9954e-07,0,1.85857e-05,0,3.11761e-05,0,0.00666288,2.2183e-05,2.19831e-06,0,0.00252826,1.39893e-06,0.00206841,1.21906e-05,0.986903,0.00174926
113,6.31081e-07,0,1.87221e-05,0,3.17644e-05,0,0.00664823,2.20878e-05,2.31397e-06,0,0.00253295,1.47252e-06,0.00206953,1.2832e-05,0.986913,0.00174662
114,5.9618e-07,0,1.78854e-05,0,3.06039e-05,0,0.00665893,2.06676e-05,1.78854e-06,0,0.00252422,1.19236e-06,0.0020757,1.15261e-05,0.986913,0.00174343
115,6.2758e-07,0,1.79906e-05,0,3.0333e-05,0,0.00665695,2.09193e-05,1.88274e-06,0,0.00252329,1.04597e-06,0.00208921,1.17148e-05,0.986903,0.00174258
116,5.99604e-07,0,1.83879e-05,0,3.11794e-05,0,0.00663422,2.07863e-05,1.59895e-06,0,0.00251834,9.99341e-07,0.00208183,1.17922e-05,0.986942,0.00173845
117,6.31231e-07,0,1.83057e-05,0,3.11407e-05,0,0.00664265,2.06202e-05,1.68328e-06,0,0.00251104,1.05205e-06,0.00208054,1.13622e-05,0.986948,0.00173336
118,5.95922e-07,0,1.86722e-05,0,3.11866e-05,0,0.0066481,2.02613e-05,1.58912e-06,0,0.00251459,1.19184e-06,0.00208314,1.09252e-05,0.986941,0.00172917
119,6.27322e-07,0,1.81923e-05,0,3.1157e-05,0,0.00664104,2.00743e-05,1.46375e-06,0,0.00251472,1.04554e-06,0.00208104,1.10827e-05,0.986949,0.00173057
120,5.99744e-07,0,1.79923e-05,0,3.0387e-05,0,0.00665216,2.01914e-05,1.3994e-06,0,0.00251812,1.19949e-06,0.00207931,1.07954e-05,0.986937,0.00173086
121,6.31312e-07,0,1.74663e-05,0,3.00925e-05,0,0.00664981,2.0202e-05,1.47306e-06,0,0.00252209,1.26262e-06,0.00208038,1.07323e-05,0.986938,0.00172832
122,5.9588e-07,0,1.88695e-05,0,3.03899e-05,0,0.00663692,2.10544e-05,1.39039e-06,0,0.00252872,1.19176e-06,0.00208697,1.15204e-05,0.986928,0.00173401
123,6.27335e-07,0,1.84018e-05,0,2.9903e-05,0,0.00663616,2.11203e-05,1.46378e-06,0,0.00254133,1.25467e-06,0.00209091,1.17103e-05,0.986914,0.00173354
124,7.99668e-07,0,1.79925e-05,0,3.01875e-05,0,0.00660426,2.19909e-05,1.79925e-06,0,0.00253935,1.1995e-06,0.00207654,1.09954e-05,0.986966,0.00172888
125,8.41844e-07,0,1.74683e-05,0,3.05168e-05,0,0.00660258,2.25193e-05,1.89415e-06,0,0.00253711,1.26277e-06,0.00206925,1.0523e-05,0.986975,0.00173083
126,7.94943e-07,0,1.64951e-05,0,3.00091e-05,0,0.00659306,2.22584e-05,2.38483e-06,0,0.00255395,1.39115e-06,0.00206407,1.09305e-05,0.986963,0.00174152
127,6.27594e-07,0,1.65266e-05,0,2.92877e-05,0,0.00658723,2.2175e-05,2.09198e-06,0,0.00256602,1.46439e-06,0.0020583,1.08783e-05,0.986962,0.00174346
128,5.99638e-07,0,1.59904e-05,0,3.05816e-05,0,0.00658063,2.19867e-05,1.99879e-06,0,0.00256405,1.39916e-06,0.00205696,1.1593e-05,0.986978,0.00173595
129,6.31367e-07,0,1.53633e-05,0,2.94638e-05,0,0.00659021,2.16769e-05,2.10456e-06,0,0.00256398,1.47319e-06,0.00205721,1.15751e-05,0.986968,0.00173858
130,3.97252e-07,0,1.39038e-05,0,3.05884e-05,0,0.00657691,2.20475e-05,2.38351e-06,0,0.00255652,1.19176e-06,0.00205797,1.11231e-05,0.98699,0.00173738
131,4.1823e-07,0,1.38016e-05,0,3.03216e-05,0,0.00658042,2.21662e-05,2.50938e-06,0,0.00256019,1.04557e-06,0.00205225,1.0874e-05,0.986989,0.00173733
132,3.99772e-07,0,1.41919e-05,0,3.01828e-05,0,0.00657944,2.25871e-05,2.59852e-06,0,0.00257573,9.99429e-07,0.00205782,1.07938e-05,0.986971,0.00173461
133,4.20855e-07,0,1.38882e-05,0,2.92494e-05,0,0.00659227,2.29366e-05,2.73556e-06,0,0.00256932,8.4171e-07,0.00206008,1.03109e-05,0.986961,0.00173687
134,3.97282e-07,0,1.35076e-05,0,3.05907e-05,0,0.00660621,2.26451e-05,3.17826e-06,0,0.00257896,5.95923e-07,0.00205216,1.07266e-05,0.986955,0.00172639
135,4.18166e-07,0,1.37995e-05,0,2.98988e-05,0,0.00659343,2.29991e-05,2.92716e-06,0,0.00256273,6.27248e-07,0.0020488,1.06632e-05,0.98699,0.0017241
136,4.00037e-07,0,1.44013e-05,0,3.08028e-05,0,0.00659641,2.26021e-05,3.60033e-06,0,0.00257544,6.00055e-07,0.00204159,1.0801e-05,0.986979,0.00172396
137,6.31559e-07,0,1.38943e-05,0,3.13674e-05,0,0.00659032,2.31572e-05,3.78935e-06,0,0.00258055,4.21039e-07,0.00203636,1.11575e-05,0.98698,0.00172816
138,7.94487e-07,0,1.33077e-05,0,3.17795e-05,0,0.00658987,2.38346e-05,3.77381e-06,0,0.00256798,3.97244e-07,0.00204302,1.17187e-05,0.986979,0.00173417
139,8.36263e-07,0,1.35893e-05,0,3.11508e-05,0,0.00659205,2.42516e-05,3.76318e-06,0,0.00256607,4.18131e-07,0.00203985,1.17077e-05,0.986983,0.00173295
140,7.99827e-07,0,1.47968e-05,0,3.11932e-05,0,0.00658298,2.41948e-05,3.99913e-06,0,0.00257064,3.99913e-07,0.00202836,1.19974e-05,0.986986,0.00174462
141,6.31379e-07,0,1.41008e-05,0,3.13585e-05,0,0.00657918,2.44133e-05,3.78827e-06,0,0.00257434,4.20919e-07,0.00202736,1.22067e-05,0.986982,0.00175039
142,5.95988e-07,0,1.33104e-05,0,3.21833e-05,0,0.00659579,2.42368e-05,3.37726e-06,0,0.0025842,5.95988e-07,0.00202119,1.17211e-05,0.986973,0.00174028
